triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;positive_change_set_9;335350;4000;185.4696168899536
GRAPHDB;bearc;negative_change_set_9;333095;4000;169.97644019126892
GRAPHDB;bearc;positive_change_set_10;335738;4000;185.3815634250641
GRAPHDB;bearc;negative_change_set_10;334905;4000;174.87856125831604
GRAPHDB;bearc;positive_change_set_11;338753;4000;191.09062433242798
GRAPHDB;bearc;negative_change_set_11;335954;4000;173.6949005126953
GRAPHDB;bearc;positive_change_set_12;126098;4000;73.07322192192078
GRAPHDB;bearc;negative_change_set_12;125657;4000;79.80291891098022
GRAPHDB;bearc;positive_change_set_13;339237;4000;188.54531836509705
GRAPHDB;bearc;negative_change_set_13;338634;4000;178.7950782775879
GRAPHDB;bearc;positive_change_set_14;338935;4000;191.2646119594574
GRAPHDB;bearc;negative_change_set_14;338603;4000;172.8174557685852
GRAPHDB;bearc;positive_change_set_15;340397;4000;189.6635880470276
GRAPHDB;bearc;negative_change_set_15;336309;4000;172.5016474723816
GRAPHDB;bearc;positive_change_set_16;334232;4000;185.687890291214
GRAPHDB;bearc;negative_change_set_16;334829;4000;176.2053999900818
GRAPHDB;bearc;positive_change_set_17;335428;4000;187.46870160102844
GRAPHDB;bearc;negative_change_set_17;334012;4000;170.73347902297974
GRAPHDB;bearc;positive_change_set_18;335573;4000;192.10215091705322
GRAPHDB;bearc;negative_change_set_18;335238;4000;175.0963578224182
GRAPHDB;bearc;positive_change_set_19;331202;4000;193.8012375831604
GRAPHDB;bearc;negative_change_set_19;330369;4000;170.31969261169434
GRAPHDB;bearc;positive_change_set_20;339424;4000;200.45925855636597
GRAPHDB;bearc;negative_change_set_20;337199;4000;201.94213819503784
GRAPHDB;bearc;positive_change_set_21;336305;4000;196.8964228630066
GRAPHDB;bearc;negative_change_set_21;335885;4000;175.9803831577301
GRAPHDB;bearc;positive_change_set_22;337146;4000;197.51573824882507
GRAPHDB;bearc;negative_change_set_22;336103;4000;178.18974351882935
GRAPHDB;bearc;positive_change_set_23;338516;4000;210.272132396698
GRAPHDB;bearc;negative_change_set_23;336525;4000;179.36897015571594
GRAPHDB;bearc;positive_change_set_24;332618;4000;195.4546992778778
GRAPHDB;bearc;negative_change_set_24;330615;4000;176.79474091529846
GRAPHDB;bearc;positive_change_set_25;313803;4000;182.0072672367096
GRAPHDB;bearc;negative_change_set_25;296078;4000;169.95752787590027
GRAPHDB;bearc;positive_change_set_26;349291;4000;205.61980414390564
GRAPHDB;bearc;negative_change_set_26;363968;4000;192.33233642578125
GRAPHDB;bearc;positive_change_set_27;80372;4000;51.232362031936646
GRAPHDB;bearc;negative_change_set_27;80351;4000;64.20367622375488
GRAPHDB;bearc;positive_change_set_28;24653;4000;16.011432886123657
GRAPHDB;bearc;negative_change_set_28;18545;4000;20.061310291290283
GRAPHDB;bearc;positive_change_set_29;290911;4000;174.58705520629883
GRAPHDB;bearc;negative_change_set_29;290442;4000;158.26979899406433
GRAPHDB;bearc;positive_change_set_30;292379;4000;180.01486945152283
GRAPHDB;bearc;negative_change_set_30;291218;4000;159.22864961624146
GRAPHDB;bearc;positive_change_set_31;33958;4000;23.989893913269043
GRAPHDB;bearc;negative_change_set_31;33877;4000;32.132017612457275
GRAPHDB;bearc;positive_change_set_32;43904;4000;29.203864574432373
GRAPHDB;bearc;negative_change_set_32;43794;4000;40.7461256980896
GRAPHDB;bearc;snapshot_0;485178;5000;298.8272042274475
GRAPHDB;bearc;positive_change_set_1;273716;5000;140.07912421226501
GRAPHDB;bearc;negative_change_set_1;273294;5000;145.827401638031
GRAPHDB;bearc;positive_change_set_2;279461;5000;150.61510848999023
GRAPHDB;bearc;negative_change_set_2;277422;5000;139.19569492340088
GRAPHDB;bearc;positive_change_set_3;299053;5000;161.91781878471375
GRAPHDB;bearc;negative_change_set_3;295548;5000;154.06013560295105
GRAPHDB;bearc;positive_change_set_4;277024;5000;151.92355704307556
GRAPHDB;bearc;negative_change_set_4;274320;5000;137.8201334476471
GRAPHDB;bearc;positive_change_set_5;277693;5000;146.60870170593262
GRAPHDB;bearc;negative_change_set_5;276654;5000;140.12404990196228
GRAPHDB;bearc;positive_change_set_6;282886;5000;152.8898365497589
GRAPHDB;bearc;negative_change_set_6;277790;5000;140.9842734336853
GRAPHDB;bearc;positive_change_set_7;337902;5000;188.8008725643158
GRAPHDB;bearc;negative_change_set_7;306592;5000;156.45561623573303
GRAPHDB;bearc;positive_change_set_8;293905;5000;160.83738827705383
GRAPHDB;bearc;negative_change_set_8;293479;5000;153.38085675239563
GRAPHDB;bearc;positive_change_set_9;335350;5000;184.6602919101715
GRAPHDB;bearc;negative_change_set_9;333095;5000;168.24620413780212
GRAPHDB;bearc;positive_change_set_10;335738;5000;185.90336298942566
GRAPHDB;bearc;negative_change_set_10;334905;5000;168.13920378684998
GRAPHDB;bearc;positive_change_set_11;338753;5000;187.4589774608612
GRAPHDB;bearc;negative_change_set_11;335954;5000;170.15607118606567
GRAPHDB;bearc;positive_change_set_12;126098;5000;74.78531050682068
GRAPHDB;bearc;negative_change_set_12;125657;5000;80.98846936225891
GRAPHDB;bearc;positive_change_set_13;339237;5000;191.9495871067047
GRAPHDB;bearc;negative_change_set_13;338634;5000;173.71532154083252
GRAPHDB;bearc;positive_change_set_14;338935;5000;188.62642359733582
GRAPHDB;bearc;negative_change_set_14;338603;5000;170.6435408592224
GRAPHDB;bearc;positive_change_set_15;340397;5000;190.54906034469604
GRAPHDB;bearc;negative_change_set_15;336309;5000;169.38987755775452
GRAPHDB;bearc;positive_change_set_16;334232;5000;191.71297645568848
GRAPHDB;bearc;negative_change_set_16;334829;5000;171.7283637523651
GRAPHDB;bearc;positive_change_set_17;335428;5000;194.07799696922302
GRAPHDB;bearc;negative_change_set_17;334012;5000;172.78165769577026
GRAPHDB;bearc;positive_change_set_18;335573;5000;195.6454153060913
GRAPHDB;bearc;negative_change_set_18;335238;5000;179.13777709007263
GRAPHDB;bearc;positive_change_set_19;331202;5000;188.75253081321716
GRAPHDB;bearc;negative_change_set_19;330369;5000;173.38103318214417
GRAPHDB;bearc;positive_change_set_20;339424;5000;194.7491753101349
GRAPHDB;bearc;negative_change_set_20;337199;5000;175.23370146751404
GRAPHDB;bearc;positive_change_set_21;336305;5000;191.63636779785156
GRAPHDB;bearc;negative_change_set_21;335885;5000;172.87182641029358
GRAPHDB;bearc;positive_change_set_22;337146;5000;190.62053966522217
GRAPHDB;bearc;negative_change_set_22;336103;5000;172.02110314369202
GRAPHDB;bearc;positive_change_set_23;338516;5000;193.8778531551361
GRAPHDB;bearc;negative_change_set_23;336525;5000;172.3169014453888
GRAPHDB;bearc;positive_change_set_24;332618;5000;192.63695454597473
GRAPHDB;bearc;negative_change_set_24;330615;5000;171.30652904510498
GRAPHDB;bearc;positive_change_set_25;313803;5000;182.38263392448425
GRAPHDB;bearc;negative_change_set_25;296078;5000;168.34073901176453
GRAPHDB;bearc;positive_change_set_26;349291;5000;199.42490243911743
GRAPHDB;bearc;negative_change_set_26;363968;5000;188.87813901901245
GRAPHDB;bearc;positive_change_set_27;80372;5000;49.8981409072876
GRAPHDB;bearc;negative_change_set_27;80351;5000;62.63221740722656
GRAPHDB;bearc;positive_change_set_28;24653;5000;15.141222476959229
GRAPHDB;bearc;negative_change_set_28;18545;5000;19.98236346244812
GRAPHDB;bearc;positive_change_set_29;290911;5000;169.48925232887268
GRAPHDB;bearc;negative_change_set_29;290442;5000;158.45697498321533
GRAPHDB;bearc;positive_change_set_30;292379;5000;169.85569739341736
GRAPHDB;bearc;negative_change_set_30;291218;5000;154.62947487831116
GRAPHDB;bearc;positive_change_set_31;33958;5000;23.143755674362183
GRAPHDB;bearc;negative_change_set_31;33877;5000;31.584501028060913
GRAPHDB;bearc;positive_change_set_32;43904;5000;28.34176254272461
GRAPHDB;bearc;negative_change_set_32;43794;5000;40.09481930732727
GRAPHDB;bearc;snapshot_0;485178;6000;291.9673614501953
GRAPHDB;bearc;positive_change_set_1;273716;6000;142.29480838775635
GRAPHDB;bearc;negative_change_set_1;273294;6000;146.6879677772522
GRAPHDB;bearc;positive_change_set_2;279461;6000;148.5206995010376
GRAPHDB;bearc;negative_change_set_2;277422;6000;141.64992022514343
GRAPHDB;bearc;positive_change_set_3;299053;6000;156.29992938041687
GRAPHDB;bearc;negative_change_set_3;295548;6000;148.22975373268127
GRAPHDB;bearc;positive_change_set_4;277024;6000;140.77052283287048
GRAPHDB;bearc;negative_change_set_4;274320;6000;137.73016262054443
GRAPHDB;bearc;positive_change_set_5;277693;6000;140.87943124771118
GRAPHDB;bearc;negative_change_set_5;276654;6000;136.92688822746277
GRAPHDB;bearc;positive_change_set_6;282886;6000;145.53806233406067
GRAPHDB;bearc;negative_change_set_6;277790;6000;136.57227611541748
GRAPHDB;bearc;positive_change_set_7;337902;6000;185.58987736701965
GRAPHDB;bearc;negative_change_set_7;306592;6000;154.60118436813354
GRAPHDB;bearc;positive_change_set_8;293905;6000;159.48485255241394
GRAPHDB;bearc;negative_change_set_8;293479;6000;148.90110969543457
GRAPHDB;bearc;positive_change_set_9;335350;6000;177.68719625473022
GRAPHDB;bearc;negative_change_set_9;333095;6000;166.9209156036377
GRAPHDB;bearc;positive_change_set_10;335738;6000;184.82393193244934
GRAPHDB;bearc;negative_change_set_10;334905;6000;187.20510411262512
GRAPHDB;bearc;positive_change_set_11;338753;6000;182.9109811782837
GRAPHDB;bearc;negative_change_set_11;335954;6000;164.39551162719727
GRAPHDB;bearc;positive_change_set_12;126098;6000;70.13068842887878
GRAPHDB;bearc;negative_change_set_12;125657;6000;78.97532415390015
GRAPHDB;bearc;positive_change_set_13;339237;6000;183.30976581573486
GRAPHDB;bearc;negative_change_set_13;338634;6000;171.30114269256592
